,company_name,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_state,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
0,Petroliam Nasional Berhad (PETRONAS),4.5584,1427,336,109,37,50,94%,88%,"level 3, menara dayabumi
jalan sultan hishamuddin
50050 kuala lumpur, malaysia",Kuala Lumpur,> 5000 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1,Malayan Banking Berhad (Maybank),4.347,1081,437,139,38,83,92%,87%,menara maybank jalan tun perak kuala lumpur wilayah persekutuan kuala lumpur malaysia,Perak,> 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Vision, Attractive Benefit Package",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2,Keysight Technologies Malaysia Sdn. Bhd.,4.5613,904,299,64,14,26,94%,94%,"bayan lepas free industrial zone, 11900 penang, malaysia.",Penang,2001 - 5000 ,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Meal Allowance, Mother's Room, Moms-to-be Carpark, Stock Purchase Program",Smart Casual,English,"Regular hours, Mondays - Fridays"
3,United Overseas Bank (Malaysia) Bhd,4.6111,920,276,48,11,23,97%,93%,menara uob jalan raja laut kuala lumpur wilayah persekutuan kuala lumpur malaysia,Kuala Lumpur,2001 - 5000 ,"Medical, Loans, Dental, Optical",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4,Kumpulan Wang Simpanan Pekerja (KWSP),4.4548,783,171,113,26,35,95%,78%,"bangunan kwsp, jalan raja laut, 50350 kuala lumpur",Kuala Lumpur,> 5000 ,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, MyFLEX",Business Casual,Bahasa Malaysia / English,"Regular hours, Mondays - Fridays"
5,Telekom Malaysia Berhad,4.4683,686,269,77,13,27,89%,90%,"41th floor (south wing) menara telekom, jalan pantai bharu, kuala lumpur 59200",Kuala Lumpur,> 5000 ,"Medical, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
6,CIMB Group,4.1536,541,280,151,40,49,87%,82%,"menara cimb, no 1 jalan stesen sentral 2, kuala lumpur sentral, 50470, kuala lumpur, malaysia",Kuala Lumpur,> 5000 ,"Medical, Loans, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7,UOA Development Bhd,3.6117,371,223,165,66,151,83%,73%,"uoa corporate tower, bangsar south city, jalan kerinchi kuala lumpur federal territory of kuala lumpur malaysia",Kuala Lumpur,1001 - 2000 ,"Medical, Dental, Sports (e.g. Gym), Parking, Insurance coverage, Examination leave",Business (e.g. Shirts),English,Regular hours
8,Celcom Axiata Berhad,4.4028,516,233,69,9,28,85%,90%,"celcom axiata new corporate  office (canco), persiaran barat, seksyen 52 petaling jaya, 46200 petaling jaya, selangor",Selangor,2001 - 5000 ,"Medical, Dental, Sports (e.g. Gym), Vision, Company Mobile Line (CML)",Smart Casual,English,"Regular hours, Mondays - Fridays"
9,Tenaga Nasional Berhad,4.6697,590,140,23,7,12,88%,93%,"129 jalan bangsar, 59200 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,> 5000 ,"Dental, Education support, Loans, Medical, Miscellaneous allowance, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
